Instrument ID;Calendar ID;Segment Code;Post Trade Parameters ID;Price Tick Table ID;ISIN Code;Deletion Date;First Trading Date;Instrument Status;Clearing Type;Delete Orders at EOD;Exchange Market Size;Pre-Trade LIS Value (Currency);Minimum Order Size;Last Trading Day;Lot Size;Security Type;TIDM;Description;SEDOL;ADT (EUR);Currency;Bid Status;DOL Indicator;DOL Section Number;Expiry Source;Issuer Code;Issuer Name;Normal Market Size;Ratio;Settlement Type;Standard Market Size;Instrument Name;DOL Symbol;Unit of Quotation;Max Spread Floor;Max Spread Percentage;Country of Register;Covered Warrant Strike Price;Covered Warrant Expiry;Sector;Multicast ID;Covered Warrant Strike Currency;Covered Warrant Type;Covered Warrant Style;Reference Price;Market ID;Visibility;Mifir Identifier;Mifir Subclass;Static Reference Price Collar Percentage;Dynamic Reference Price Collar Percentage ;Liquid;ADT (Currency);ADNT;RPW Allowed;FISN;Max Order Value Lit (Currency);Max Order Value Dark (Currency);Notional Currency ;Price Notation;Denominated Par Value;Max Order Value Lit Auctions (Currency)
TC1d;DE;DE;Normal;600_2000;DE000TCAG172;;20190708;0;1;1;;200000;;;1;EQ;;TELE COLUMBUS AG;;4423817.82;EUR;;;;;;;;;;;;;;;;;;;;3;;;;2.014;XETR;B;SHRS;;25;5;Y;4423817.82;748.84861;Y;TELECOLUMBUS AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TEGd;DE;DE;Normal;600_2000;DE0008303504;;20190708;0;1;1;;400000;;;1;EQ;;TAG IMMOBILIEN AG;;29517820.88;EUR;;;;;;;;;;;;;;;;;;;;3;;;;21.32;XETR;B;SHRS;;25;5;Y;29517820.88;1198.04383;Y;TAG IMMOBILIEN/AKT O.N.;20000000;200000000;;MONE;;200000000
TGHNd;DE;DE;Normal;_10;LU1618151879;;20190708;0;1;1;;30000;;;1;EQ;;LOGWIN AG;;55161.44;EUR;;;;;;;;;;;;;;;;;;;;3;;;;154;XETR;B;SHRS;;30;10;N;55161.44;6.06375;Y;LOGWIN AG NAM. O.N.;20000000;200000000;;MONE;;200000000
TGTd;DE;DE;Normal;10_80;DE0005118806;;20190708;0;1;1;;30000;;;1;EQ;;11 88 0 SOLUTIONS AG;;75223.27;EUR;;;;;;;;;;;;;;;;;;;;3;;;;1.87;XETR;B;SHRS;;30;10;N;75223.28;11.27491;Y;11880 SOLUTIONS/AKT O.N.;20000000;200000000;;MONE;;200000000
TIMd;DE;DE;Normal;80_600;GB00BHD66J44;;20190708;0;1;1;;200000;;;1;EQ;;ZEAL NETWORK SE;;1138794.56;EUR;;;;;;;;;;;;;;;;;;;;3;;;;17.98;XETR;B;SHRS;;30;10;N;1138794.56;194.28572;N;ZEAL NETW/NPV VTG FPD;20000000;200000000;;MONE;;200000000
TKAd;DE;DE;Normal;2000_9000;DE0007500001;;20190708;0;1;1;;650000;;;1;EQ;;THYSSENKRUPP AG;;191875307.5;EUR;;;;;;;;;;;;;;;;;;;;3;;;;9.95;XETR;B;SHRS;;25;5;Y;191875307.5;7307.45817;Y;THYSSENKRUPP AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TLGd;DE;DE;Normal;80_600;DE000A12B8Z4;;20190708;0;1;1;;300000;;;1;EQ;;TLG IMMOBILIEN AG;;11937314.01;EUR;;;;;;;;;;;;;;;;;;;;3;;;;27;XETR;B;SHRS;;25;5;Y;11937314.01;588.23506;Y;TLG IMMOBILIEN/AKT O.N.;20000000;200000000;;MONE;;200000000
TLId;DE;DE;Normal;_10;DE0007454902;;20190708;0;1;1;;15000;;;1;EQ;;TELES AG INFORMATIONSTECHNOL;;4028.7;EUR;;;;;;;;;;;;;;;;;;;;3;;;;0.175;XETR;B;SHRS;;30;10;N;4028.7;2.65339;Y;TELES AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TLXd;DE;DE;Normal;600_2000;DE000TLX1005;;20190708;0;1;1;;300000;;;1;EQ;;TALANX AG;;14733909.45;EUR;;;;;;;;;;;;;;;;;;;;3;;;;37.56;XETR;B;SHRS;;25;5;Y;14733909.45;1008.7251;Y;TALANX AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TPEd;DE;DE;Normal;80_600;DE0007461006;;20190708;0;1;1;;200000;;;1;EQ;;PVA TEPLA AG;;2031047.32;EUR;;;;;;;;;;;;;;;;;;;;3;;;;11.14;XETR;B;SHRS;;25;5;Y;2031047.32;282.68128;Y;PVA TEPLA AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TTId;DE;DE;Normal;600_2000;DE000A0STST2;;20190708;0;1;1;;200000;;;1;EQ;;TOM TAILOR HOLDING SE;;3626737.88;EUR;;;;;;;;;;;;;;;;;;;;3;;;;1.244;XETR;B;SHRS;;30;10;N;3626737.89;749;Y;TOM TAILOR/AKT O.N.;20000000;200000000;;MONE;;200000000
TTKd;DE;DE;Normal;80_600;DE0007446007;;20190708;0;1;1;;200000;;;1;EQ;;TAKKT AG;;3115359.62;EUR;;;;;;;;;;;;;;;;;;;;3;;;;11.6;XETR;B;SHRS;;25;5;Y;3115359.63;474.78487;Y;TAKKT AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TTR1d;DE;DE;Normal;80_600;DE000A0XYGA7;;20190708;0;1;1;;200000;;;1;EQ;;TECHNOTRANS SE;;1027416.21;EUR;;;;;;;;;;;;;;;;;;;;3;;;;19.7;XETR;B;SHRS;;25;5;Y;1027416.22;182.18327;Y;TECHNOTRANS AG/AKT O.N.;20000000;200000000;;MONE;;200000000
TUI1d;DE;DE;Normal;2000_9000;DE000TUAG000;;20190708;0;1;1;;650000;;;1;EQ;;TUI AG-DI;;133504271;EUR;;;;;;;;;;;;;;;;;;;;3;;;;8.734;XETR;B;SHRS;;25;5;Y;133504271;3425.6917;Y;TUI AG/AKT O.N.;20000000;200000000;;MONE;;200000000
ULCd;DE;DE;Normal;10_80;DE0005489561;;20190708;0;1;1;;30000;;;1;EQ;;UNITED LABELS AG;;59548.18;EUR;;;;;;;;;;;;;;;;;;;;3;;;;1.985;XETR;B;SHRS;;30;10;N;59548.19;14.0757;Y;UTD LABELS AG/AKT O.N.;20000000;200000000;;MONE;;200000000
EGLu;PT;PT;Normal;600_2000;PTMEN0AE0005;;20190708;0;1;1;;200000;;;1;EQ;;MOTA ENGIL SGPS SA;;3777948.06;EUR;;;;;;;;;;;;;;;;;;;;6;;;;1.683;XLIS;B;SHRS;;25;5;Y;3777948.06;615.50394;Y;MOTA ENGIL SGPS/AC 1;20000000;200000000;;MONE;;200000000
FCPu;PT;PT;Normal;_10;PTFCP0AM0008;;20190708;0;1;1;;15000;;;1;EQ;;FUTEBOL CLUBE DO PORTO;;990.08;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.6;XLIS;B;SHRS;;30;10;N;990.09;2.12993;Y;FCPORTO FUT SAD/AC 5;20000000;200000000;;MONE;;200000000
